authorMeta/fans,authorMeta/heart,authorMeta/verified,videoMeta/duration,playCount,diggCount,shareCount,commentCount,hashtags/0/name,videoMeta/coverUrl,hashtags_cleaned
39700000,1000000000,True,51,1300000,204300,57700,1931,outerbanks,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oIgpAoGAAQNALGO8hkeErORJ478jfPE3AIHe0I?lk3s=81f88b70&x-expires=1725267600&x-signature=aZtYVqFkPUcHgFW7aUkeBQJiITM%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,171,297400,27400,6263,178,nobodywantsthis,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/ow8OKDo9IAkJWNAEhHdEB6fAmEDrAAFlNQENff?lk3s=81f88b70&x-expires=1725267600&x-signature=CbM272RjK4LFalFA1K%2Bw9E19v8U%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,411,23500,668,7,21,kaos,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oAAJAf0RDDDmFAUCTQEZG1ER0CSIn8dgfNVnUA?lk3s=81f88b70&x-expires=1725267600&x-signature=dpFyyTEoQQkNlt%2BxT7U6QxYmZdg%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,63,316100,8894,220,55,kaos,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oQtgyGFNAFoCA7SmVhiCD6VeBEQIIAFgAGA0fD?lk3s=81f88b70&x-expires=1725267600&x-signature=tcRbxDo9pi%2BPzTbQXd%2BOUEFixb4%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,56,62600,4412,79,140,austok,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/o0ABmHiZmEBwRwBA0odwfbiqzOIwKiOBpt922A?lk3s=81f88b70&x-expires=1725267600&x-signature=A%2FUh7k408zD4VhMp1%2F4MUokQr%2Bs%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,83,69700,2366,17,52,chestnutvskobayashi,https://p19-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/ocNMQeyEAGIlPAAAAeKEeLqWVHkmTgb0rvnBGA?lk3s=81f88b70&x-expires=1725267600&x-signature=HC97MkMPv8ReCEmsYzdBGPaPGi0%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,84,1300000,39900,4241,1211,theaccident,https://p19-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/dac198b72c734855b7f4d2abe4818221_1724868057?lk3s=81f88b70&x-expires=1725267600&x-signature=8o0bt02mDoS0EdVAtJCyhkJ64c8%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,10,81200,5645,89,50,thedeliverance,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oAk8ZBAs5PHlSRIZGA9CMAgZiithl4AAmEDPo?lk3s=81f88b70&x-expires=1725267600&x-signature=pHM7u58V6%2BpZcdcMDUXDXgX3bh4%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,78,82900,1813,13,28,loveisblinduk,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oY8rAnIMPADtOek0EzdDNfAQGeAJLHAxaEANjg?lk3s=81f88b70&x-expires=1725267600&x-signature=%2Fgddn%2B9QhuiU3gpx3rVsRWzATp4%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,46,35200,1498,170,47,starting5,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/okF48EDAvAJgji0HAZ9ATlokGAPkiis6I0BEO?lk3s=81f88b70&x-expires=1725267600&x-signature=8PhHRIoyY3Xhw5uUzKQskvLPK90%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,66,31400,822,9,39,austok,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/owtaIHAL8EYfXrBACGEmMnIskhZpGeZCkS8NeN?lk3s=81f88b70&x-expires=1725267600&x-signature=ChmnbEd0%2Fs2NdoHmdRpOOdoIeqM%3D&shp=81f88b70&shcp=-,
24100000,424600000,True,15,17800000,1400000,16700,8005,mercuri_88,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/d5f0617a70b24b1cb33ab3f2f6074a5f_1648226125~tplv-dmt-logom:tos-useast2a-v-0068/42d5253b8310410ebd54593a0488b5e4.image?lk3s=b59d6b55&x-expires=1725267600&x-signature=FI9acwZp9f2var1rECoAbZiF040%3D&shp=b59d6b55&shcp=-,
39700000,1000000000,True,16,31600000,3500000,159800,46700,,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/o8Aq3CsfVlESCSDgCnD7GSF6AISugAfEQIpAIC?lk3s=b59d6b55&x-expires=1725267600&x-signature=iKbbWxZa3rs4d0CLavfgwFdE%2FL0%3D&shp=b59d6b55&shcp=-,
14200000,231900000,True,11,6600000,558700,61000,31500,,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oghvCpfDSEyDr6MEfJpDAWcEsE4ABEeAFAAIIg?lk3s=b59d6b55&x-expires=1725267600&x-signature=icJVl6Cd2MEBeYNAR6DB3joSK%2FY%3D&shp=b59d6b55&shcp=-,
14200000,231900000,True,29,10000000,442000,14500,3930,pretendentesurpresa,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oMACifN6AnrTEYeEFzACnEIDRgYSIA2EDifd9u?lk3s=b59d6b55&x-expires=1725267600&x-signature=j3X9cJv5TMJ1jwps7GmpvBjDt0o%3D&shp=b59d6b55&shcp=-,
14200000,231900000,True,15,9700000,761000,38800,7015,songkang,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oIbZHUQOCkniA2AniixPqIEuz5JyAEABvAlwQ?lk3s=b59d6b55&x-expires=1725267600&x-signature=OYNrFPXdnSSLhisWM7hcNDhMc9s%3D&shp=b59d6b55&shcp=-,
4800000,123900000,True,33,2700000,213100,14300,970,thesoundofyourheart,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/okq5Aq1EXIInVAUmAWAQVfWF7fCPNiCQBDQCgd?lk3s=b59d6b55&x-expires=1725267600&x-signature=VjYfLWAVoYmLRdmb1t1oByIrJFc%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,9,7800000,667000,23200,2414,elinfierno,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o0MASkUy1EfEbAXr5CUISHrAAqEfgS8B6j3MQe?lk3s=b59d6b55&x-expires=1725267600&x-signature=tBLkE4mJJHqe9sQYBCRKfzMhwO8%3D&shp=b59d6b55&shcp=-,
